"nuprocesso";"deassunto";"devara";"dtcoleta";"declasse"
"00006569820188173130";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"5A VARA CIVEL DA COMARCA DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00000667720188178221";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00501502120138178201";DIREITO DO CONSUMIDOR;"10O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00006642620178173190";DIREITO CIVIL;VARA UNICA DA COMARCA DE RIBEIRAO;2020-01-11 00:00:00;OUTROS PROCEDIMENTOS DE JURISDICAO VOLUNTARIA (1294)
"00010924320178172370";DIREITO ADMINISTRATIVO E OUTRAS MATERIAS DE DIREITO PUBLICO;"5A VARA CIVEL DA COMARCA DO CABO DE SANTO AGOSTINHO";2020-01-11 00:00:00;PETICAO CIVEL (241)
"00002174320188178221";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00024046520158172001";DIREITO DO CONSUMIDOR;SECAO A DA 19A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;CUMPRIMENTO DE SENTENCA (156)
"00349997820198172001";DIREITO DO CONSUMIDOR;SECAO A DA 3A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00020722420188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00000394520198178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
